City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Jaru,BR,2020-01-05 06:27:43,-10.43,-62.48,72.84,98,100,2.26
126,Comodoro Rivadavia,AR,2020-01-05 06:27:43,-45.87,-67.48,59.0,47,64,12.75
127,Paraguari,PY,2020-01-05 06:27:43,-25.62,-57.15,73.4,83,20,1.9
128,Sungaipenuh,ID,2020-01-05 06:27:44,-2.08,101.38,78.13,66,71,2.26
129,Lasa,CY,2020-01-05 06:27:44,34.92,32.53,51.8,87,75,3.36
130,Namatanai,PG,2020-01-05 06:27:44,-3.66,152.44,84.76,72,100,7.36
131,Cockburn Town,TC,2020-01-05 06:27:45,21.46,-71.14,77.2,68,0,7.29
132,Narsaq,GL,2020-01-05 06:27:45,60.91,-46.05,24.8,79,98,5.17
133,Tortoli,IT,2020-01-05 06:27:45,39.93,9.66,48.99,66,5,11.41
134,Qaanaaq,GL,2020-01-05 06:27:45,77.48,-69.36,-39.08,51,0,5.97
135,Fillmore,US,2020-01-05 06:27:46,34.4,-118.91,57.2,81,1,4.9
136,Pevek,RU,2020-01-05 06:25:27,69.7,170.27,-5.69,67,0,3.67
137,Sorland,NO,2020-01-05 06:27:46,67.67,12.69,34.93,72,100,24.81
138,Elizabeth City,US,2020-01-05 06:27:47,36.3,-76.22,48.99,87,90,18.34
139,Bluff,AU,2020-01-05 06:25:24,-23.58,149.07,88.99,40,90,16.22
140,Wasilla,US,2020-01-05 06:27:47,61.58,-149.44,0.0,83,1,6.93
141,Ostrovnoy,RU,2020-01-05 06:27:47,68.05,39.51,15.73,85,100,25.3
142,Pozo Colorado,PY,2020-01-05 06:27:47,-23.49,-58.8,74.44,71,0,3.67
143,Pangai,TO,2020-01-05 06:27:48,-19.8,-174.35,80.6,69,20,2.24
144,Waitati,NZ,2020-01-05 06:27:48,-45.75,170.57,57.0,58,40,26.13
145,Isabela,PH,2020-01-05 06:27:48,10.2,122.99,78.98,71,42,15.03
146,Amapa,HN,2020-01-05 06:27:49,15.09,-87.97,72.0,94,90,4.7
147,Sisimiut,GL,2020-01-05 06:27:49,66.94,-53.67,6.46,95,100,3.94
148,Hamilton,CA,2020-01-05 06:25:04,43.26,-79.87,35.01,86,90,6.93
149,Castro,CL,2020-01-05 06:27:49,-42.48,-73.76,51.8,76,80,4.7
150,Praia Da Vitoria,PT,2020-01-05 06:27:50,38.73,-27.07,62.6,93,40,27.0
151,Bethel,US,2020-01-05 06:27:50,60.79,-161.76,-11.2,75,1,4.7
152,Constitucion,MX,2020-01-05 06:27:50,23.99,-104.67,41.0,58,16,4.0
153,Mopti,ML,2020-01-05 06:27:50,14.49,-4.19,55.4,54,11,4.7
154,Adrar,DZ,2020-01-05 06:27:51,27.87,-0.29,33.8,43,3,8.05
155,Luanda,AO,2020-01-05 06:23:41,-8.83,13.24,75.2,88,90,5.82
156,Avera,US,2020-01-05 06:25:59,33.19,-82.53,42.8,60,1,9.17
157,Ilulissat,GL,2020-01-05 06:27:51,69.22,-51.1,12.2,72,100,6.93
158,Okhotsk,RU,2020-01-05 06:27:52,59.36,143.24,14.74,90,98,10.94
159,Rio Gallegos,AR,2020-01-05 06:27:52,-51.62,-69.22,53.6,66,100,16.11
160,Erenhot,CN,2020-01-05 06:27:52,43.65,111.97,26.02,62,63,4.88
161,Hilo,US,2020-01-05 06:26:44,19.71,-155.08,75.2,73,75,4.7
162,Newport,GB,2020-01-05 06:25:51,51.59,-3.0,45.0,93,90,9.17
163,Los Llanos De Aridane,ES,2020-01-05 06:27:53,28.66,-17.92,62.6,63,40,11.41
164,Saint-Philippe,CA,2020-01-05 06:25:43,45.36,-73.48,30.0,79,90,6.93
165,Ancud,CL,2020-01-05 06:25:29,-41.87,-73.83,51.8,76,60,4.7
166,Sterling,US,2020-01-05 06:27:02,39.0,-77.4,44.6,69,90,17.22
167,Acapulco,MX,2020-01-05 06:27:37,16.86,-99.88,75.2,94,5,2.77
168,Luwuk,ID,2020-01-05 06:27:54,-0.95,122.79,78.71,83,100,9.44
169,Sobolevo,RU,2020-01-05 06:27:54,54.43,31.9,27.75,93,9,8.68
170,Jalingo,NG,2020-01-05 06:27:54,10.3,10.93,58.84,47,3,13.27
171,Bambous Virieux,MU,2020-01-05 06:27:55,-20.34,57.76,78.01,94,75,6.93
172,Sistranda,NO,2020-01-05 06:27:55,63.73,8.83,37.99,80,75,16.11
173,Kodiak,US,2020-01-05 06:27:55,39.95,-94.76,37.99,51,1,13.47
174,Zhigansk,RU,2020-01-05 06:27:55,66.77,123.37,-16.42,95,100,10.96
175,Mumford,GH,2020-01-05 06:27:55,5.26,-0.76,68.22,59,10,3.74
176,Dingle,PH,2020-01-05 06:27:56,11.0,122.67,80.13,82,41,15.9
177,Tubigan,PH,2020-01-05 06:27:56,14.33,121.07,87.01,51,20,17.22
178,Chegdomyn,RU,2020-01-05 06:27:56,51.13,133.04,-11.69,92,12,2.33
179,Yablonovo,RU,2020-01-05 06:27:56,50.85,37.36,30.2,100,75,2.24
180,Vera Cruz,BR,2020-01-05 06:27:57,-12.96,-38.61,78.8,78,75,3.36
181,Alta Floresta,BR,2020-01-05 06:27:57,-9.87,-56.08,69.22,96,100,3.62
182,Moshenskoye,RU,2020-01-05 06:27:57,58.52,34.59,28.51,85,97,9.51
